Currency,Popularity
bitcoin,682
status,625
ethereum,607
gas,588
maker,129
ripple,52
icon,41
litecoin,39
stellar,33
eos,31
dash,31
neo,27
monero,25
tron,23
waves,23
storm,22
salt,22
fusion,22
bancor,21
nano,18
verge,15
iota,13
zcash,12
cardano,11
nem,10
ark,10
omisego,6
bitshares,6
cortex,6
ethos,6
dogecoin,5
aelf,5
stratis,4
nxt,4
tether,3
vechain,3
qtum,3
lisk,3
populous,3
qash,3
wax,3
steem,2
bytecoin,2
wanchain,2
decred,2
golem,2
augur,2
mithril,2
monacoin,2
cryptonex,2
syscoin,2
enigma,2
aeternity,1
ontology,1
bytom,1
siacoin,1
rchain,1
mixin,1
aion,1
centrality,1
waykichain,1
elastos,1
zcoin,1
kin,1
